Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
PC Lenovo V530-15ICB (10TVS0LV00) (Celeron G4930/4GB/1TB HDD/UHD 610/Free DOS),7.190.000đ,6.701.000đ,https://lh3.googleusercontent.com/8G6QjG6ftGR6_9uxWZYnyq58yZIIIEk5T9yf_sMmKdIwtifm1t4GE4_67sXmN1EUj1Y3s8Ssy1lolIAfUA=w500-rw
PC Lenovo V530-15ICB (10TVS0LW00) (Pentium G5420/4GB/1TB HDD/UHD 610/Free DOS),7.490.000đ,6.959.000đ,https://lh3.googleusercontent.com/oKGvpr45UvoJLNjzZf0mjfHyQi63KQzw1Czkjs9yu7BeUs79GzP5eE5duaAX2gqjxCBYL1Da_4Jd03ab32I=w500-rw
PC Dell Vostro 3671 MT V579Y1W (i5-9400/4GB/1TB HDD/UHD 630/Win10),12.190.000đ,11.390.000đ,https://lh3.googleusercontent.com/FBdkaX7WyZYsaK1q2PHWbYPbGjizSkE2i9ZHJwoqVAtNJLScZ9JmmLNvqmnHGQwPXkUcn6jBhnB6b6AxHiI=w500-rw
PC Dell Inspiron 3280 AIO V9V3R1W (21.5" FHD/i3-8145U/4GB/1TB HDD/UHD 620/Win10),None,13.990.000đ,https://lh3.googleusercontent.com/h85qEMxqGU2CzAx2X-ruIQhjZuf4eQ1ifkdktRz-dMDoHFA362OuWq1dGpsy8dfkG85t_NuCMbP1KUCLwYXv=w500-rw
PC HP Pavilion 590 TP01-0131d (7XF41AA) (i3-9100/4GB/1TB HDD/UHD 630/Win10),9.390.000đ,8.950.000đ,https://lh3.googleusercontent.com/Z7iL5exwT4H-ZWskt-01AgRz2uEgAI5ISE24_EWhqHj1tQTYtOd-soUMACDlUSPGCgOHULzRk3prfrJwLA=w500-rw
PC Acer Aspire XC-885 DT.BAQSV.029 (i5-9400/4GB/1TB HDD/GeForce GT 730/Endless),None,LIÊN HỆ,https://lh3.googleusercontent.com/3JsoTU_cG56ItQ3ZWsK9dROXEQdlU9c87GCMPcWiE--W3NYJ5pZVINMwR1NSKbJakU8xC8zg1FWJl6Kb7w=w500-rw
PC Acer Aspire XC-885 DT.BAQSV.032 (Pentium G5420/4GB/1TB HDD/UHD 610/Endless),8.090.000đ,7.790.000đ,https://lh3.googleusercontent.com/GThhm66iOWDx6acjrrjWzx7Ssl62AFMarYtQWhSQKuLKuCJRvcQbd8VKb4-bykssxLyq7FR0Hd5lNCM3Mmw=w500-rw
Máy tính để bàn - PC HP Desktop Pro A G2 MT 7GZ51PA (R5 PRO 2400G/4GB/1TB HDD/Radeon RX Vega 11/Free DOS),11.090.000đ,8.290.000đ,https://lh3.googleusercontent.com/rSeDccnu2QeAAFxJb7KR5y37D4xYZvEsqOEouen0NiGH0V9TSiwQVwujsfoFgb25i2Y_04fgQBly4B0zd1c=w500-rw
Máy tính để bàn - PC HP AIO ProOne 400 G4 4YL93PA (23.8" FHD/i3-8100T/4GB/1TB HDD/UHD 630/Free DOS),18.291.000đ,14.390.000đ,https://lh3.googleusercontent.com/yb34vKZaJLbqhmvsxoNwS58KM90wqxLGYGL-G65oPjOZ--pNPf1EPhRd2M4nFDH4qXsLj6mfBZ9JkNw0VoGb=w500-rw
Máy tính để bàn - PC Acer Aspire M230 UX.VQVSI.145 (i5-8400/4GB/1TB HDD/UHD 630/Endless),11.990.000đ,10.290.000đ,https://lh3.googleusercontent.com/eAQsV6d3op83WcHoQFyIzLFq-xVlETCRDAbz7M9aB17Cr41SuIqLDlbbBPPxOuymkms59sUKmsNKkRk_CQ=w500-rw
