Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Laptop Acer Swift 3 SF314-57-52GB (NX.HJFSV.001) (14" FHD/i5-1035G1/8GB/512GB SSD/Intel UHD/Win10/1.2kg),None,19.190.000đ,https://lh3.googleusercontent.com/uCBGreFiwVIm6i5PrigJ0L0YmVQTBHIsiRcFc1R4q-J79M_E2rhj9GKoSvLOdVM7XkkXWQYqrjvUFz8--DT4=w500-rw
Laptop Acer Swift 3 SF314-58-39BZ (NX.HPMSV.007) (14" FHD/i3-10110U/8GB/512GB SSD/Intel UHD/Win10/1.5kg),14.990.000đ,13.490.000đ,https://lh3.googleusercontent.com/c73IxYPbN1udVTyfrWuhcrPlrspOnOaRUUpcIs3Q0NN_XBCvkQuq_H_JCXnTotopyt9DvEJY1TQ3SHKRCw8D=w500-rw
Laptop Acer Swift 3 SF314-58-55RJ (NX.HPMSV.006) (14" FHD/i5-10210U/8GB/512GB SSD/Intel UHD/Win10/1.5kg),17.990.000đ,15.990.000đ,https://lh3.googleusercontent.com/6Xf00mngvGfzMrqYO6PYjx-ZhO0xzOSrqZNyaZ4_nxUv4wh_R2C6yQ_VL3PTCJnBjiMn1gbd-5hdyGDuBxyk=w500-rw
Laptop Dell Inspiron 15 3593-N3593A (15" FHD/i3-1005G1/4GB/1TB HDD/Intel UHD/Win10/2.0kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/Ekj4xf6rzWG-qB3V10VNbb6sBb_lETy0yCl3cE05TCGUBkEYFUJD02klJa4nG_GkiPw-n2WUEX1lzM1Ddg=w500-rw
Laptop HP Pavilion 15-cs3010TU (8QN78PA) (15" FHD/i3-1005G1/4GB/256GB SSD/Intel UHD/Win10),None,13.490.000đ,https://lh3.googleusercontent.com/FIZf_kAw-eSFsp6C0R5i-3nDJ5od5M2ZDtkFuIkI_jMGFCNXknUSCl4cEYJ1j2TBVfQ010FD751mlVokVes=w500-rw
Laptop HP Pavilion 15-cs3015TU (8QP15PA) (15" FHD/i5-1035G1/4GB/256GB SSD/Intel UHD/Win10),None,LIÊN HỆ,https://lh3.googleusercontent.com/erScnf_RnLRBjybegSyZEe-iZ4v19yXCMr3mBXjsdBsm45SAocEoRbU5cNaGGGrw8WFWCWrrB-j7qSAy2XU=w500-rw
Laptop HP Pavilion 15-cs3011TU (8QN96PA) (15" FHD/i5-1035G1/8GB/512GB SSD/Intel UHD/Win10),None,LIÊN HỆ,https://lh3.googleusercontent.com/pbMlljlJSGsRFILzinqrQJPw8Ouwh-GPd3jEmPJrrTeFgAQcJXxtbmYLLa1kCvjiZYGhbvflLTrlM4kCfa0=w500-rw
Laptop HP Pavilion 14-ce3018TU (8QN89PA) (14" FHD/i5-1035G1/4GB/256GB SSD/Intel UHD/Win10/1.6kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/FgLaL3EAqbO-XKjUoTaFyueh3OuSYf1CJVkrHSDlYO1aNq8K-ujclBXsl7lDiEV1FiF6RMBZxIz8FyaL8b4=w500-rw
Laptop ASUS ZenBook 15 UX534FTC-A9168T (15" FHD/i5-10210U/8GB/512GB SSD/GeForce GTX 1650/Win10/1.7kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/aybBTi86T0obwokpcLD-BZ6VqlT-Ls755jSKnFUt9or_72n9f8gNpLk7Ks7W0h-ESq3LlRjxd5qpLr0il_k=w500-rw
Laptop HP OMEN 15-dh0172tx (8ZR42PA) (15" FHD 240Hz/i7-9750H/16GB/512GB SSD/1TB HDD/RTX 2070/Win10/2.4kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/puuXJEiI0UMDePYSK0uy_fi95PRWQhfddK8EeutqM-d-G3ExyVc8BZCpmASH0XHHn92o_qgjNQj2SmMnXWQ=w500-rw
Laptop Dell Inspiron 14 3493-WTW3M1 (14" HD/i3-1005G1/4GB/1TB HDD/Intel UHD/Win10/1.7kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/HXre7tCvq1A2lZJlUMfc7_LOL_QRe1jkKp1puoe5Gbt1WJsEzLCDxe-EaevlvJ5YrT5iQ3wIgyXuEDUYFn4=w500-rw
Laptop Lenovo ThinkBook 14-IML (20RV00B6VN) (14" FHD/i3-10110U/4GB/256GB SSD/Intel UHD/Free DOS/1.5kg),12.590.000đ,11.390.000đ,https://lh3.googleusercontent.com/XP_szlKYjWKBQuz1h-ZGvP1if1zB-46R9UlNGBnpPtADYv_EGUUB4hfczCsCh5jwgAFG01UOguU7nydIqbo-=w500-rw
Laptop HP ENVY 13-aq1021TU (8QN79PA) (13" FHD/i5-10210U/8GB/256GB SSD/Intel UHD/Win10/1.3kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/jiKO4ZfIayJooEJrltH5MtQOU_SgId8kF-eB0MlgPCSnaFFSnKYbe-dMNvn_NotssVMeUu8Xu9UHp3IJAA=w500-rw
Laptop Lenovo ThinkBook 13s-IML (20RR004SVN) (13.3" FHD/i5-10210U/8GB/256GB SSD/Intel UHD/Win10/1.4kg),None,18.990.000đ,https://lh3.googleusercontent.com/WN1qTbY4s4QK6jPj4LVA1U8qC3CKMHuWHHu_JxM9dMxLBAo3G-lK4u1b0EZvLWXJj9IPItoFncJyEEWT48eE=w500-rw
Laptop HP ProBook 440 G7-9GQ22PA (14" FHD/i5-10210U/4GB/256GB SSD/Intel UHD/Free DOS/1.6kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/c60nnBsJySRODdRkW365E0MCnwFGcr77rh9-nxwHUp9WiGsT5UT75WncK0pnLtEG89IzFddZYfs6l4QzpA=w500-rw
Laptop Dell Vostro 15 3590-GRMGK1 (15.6" FHD/i5-10210U/4GB/1TB HDD/Intel UHD/Win10/2.2kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/Kay8pdbwlt24WTCVfmHQ8NbDnyiYaObkhUT2kO6UuxrChNx74mY7X6UYs5mclH4tTJc9UPi5m7qtfWWNPQ=w500-rw
Laptop ASUS VivoBook 15 A512FA-EJ1281T (15.6" FHD/i5-10210U/8GB/512GB SSD/Intel UHD/Win10/1.7kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/DZ5gwtL8KALjXWUcnQ1wPlM72yMhW5hVuSgitBxcyKBKqeyVErs-0b0rxthJyRcF9XtRHVXYIkvPMotp9A=w500-rw
Laptop HP Pavilion X360 14-dh1137TU (8QP82PA) (14" FHD/i3-10110U/4GB/256GB SSD/Intel UHD/Win10/1.6kg),13.990.000đ,12.690.000đ,https://lh3.googleusercontent.com/MVzKHAifepgYJnlRbe1BSs4_oUIjXwq645KDR54nM8OLBdx9RBITovUsECNx3TPqKsb7CEkGX5-ju8YkzA=w500-rw
Laptop ASUS ZenBook 14 UX434FAC-A6116T (14" FHD/i5-10210U/8GB/512GB SSD/Intel UHD/Win10/1.3kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/P7XzCtAKwRt2nv2vQwEejhdVWyJ48fC_8cWU9XcDKAYCchj1s5ERLhNoEChnMozSmIhSNET_M9Kh6A2fspA=w500-rw
Laptop ASUS 15 X509JA-EJ021T (15.6" FHD/i5-1035G1/4GB/512GB SSD/Intel UHD/Win10/1.8kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/-hY2acGl4Thwqmzx1yGxodVsi83deZvVscZQ8tdOazHpBmdg89lhidEIHHdTqfYVETAujYNuogKsVOkGUA=w500-rw
