Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Nguồn máy tính CORSAIR CV650 - 650W - 80 Plus Bronze,1.400.000đ,1.320.000đ,https://lh3.googleusercontent.com/7HqBEI2_skPPq-Rvy1hXRXZtsk1QfxJ_o7jlSKqw2ycSJo_nn2CRKzIcOkW1KjKo-vdnz83WwUfUZXyGuw=w500-rw
Thùng máy/ Case Deepcool Macube 310P BK,1.550.000đ,1.350.000đ,https://lh3.googleusercontent.com/64ils5W63VkqYb0TAG1glENZb4pl9USSqjQDVYoM_2FC_K6TSWAF4e0Kao8QW2moDN9QLsS3qT_w3lYmMlg=w500-rw
USB 256GB SANDISK Ultra Flair,940.000đ,729.000đ,https://lh3.googleusercontent.com/juwzDIaE0B03YIiz9hBVySsipvvab_2v5g-xO-JX6ijCotv0Tsi2oZNZWFXVW3AuVhjueyC99DgYsrRj9-w=w500-rw
CPU INTEL Pentium G5420 (2C/4T - 3.80 GHz - 4MB) - 1151-v2,None,LIÊN HỆ,https://lh3.googleusercontent.com/in16EvHftb6G4GtW55IodSIzgbUjd7ZPeTUalbx1CNq81eFBqwaj3bK5e1YyiioD3rnsBqCndEhl8l8XA8Q=w500-rw
Mainboard ASUS EX-B365M-V,1.750.000đ,1.590.000đ,https://lh3.googleusercontent.com/qhmGRqnKQeJgbe8RPbv7dVKnN-5WozlS9aQymHi0hI534xR5MawniwUJwu8JPV1lI96hGIafIy-hSJPjurXv=w500-rw
ổ cứng SSD Kingston A400 480GB M.2 2280 (SA400M8/480G),None,1.390.000đ,https://lh3.googleusercontent.com/IsiPxdlFB0u2ovmx2UGUkdBuBGclponj4a4G52U0uyvNSpBGbyZHOyTBY6bTuPNpjAssCJOeP9eZlRtqILI=w500-rw
RAM desktop KINGSTON HyperX Fury RGB 16GB (2 x 8GB) DDR4 3200MHz (HX432C16FB3AK2/16),2.490.000đ,1.990.000đ,https://lh3.googleusercontent.com/3aULB-0jiFUg7oF4bz7MlcTsqWryj3jvlczRr864ClS505mHzMTf2ty5cDh8UZhRzck0Waf6fylhvklGKkhV=w500-rw
RAM desktop KINGSTON HyperX Fury RGB 32GB (2 x 16GB) DDR4 3200MHz (HX432C16FB3AK2/32),3.990.000đ,3.590.000đ,https://lh3.googleusercontent.com/gzGPH1ok9BSM0N04PHOV756Oise4ZkaELIbgAhUVxzDj7eJL5cYAGaErfnvBS_RNOR3SqbxZoMzC-LcHe5k=w500-rw
RAM desktop KINGSTON HyperX Predator RGB Kit 32GB (2 x 16GB) DDR4 3200MHz (HX432C16PB3AK2/32),None,5.290.000đ,https://lh3.googleusercontent.com/Te60twlxJe4_cprmb1wnlD9_dRtuLAZ_AT3GhSLFgbu97aKXMRwP0_mwHMyvjGS6K6UjwLUfEEALzlki7pkl=w500-rw
RAM desktop KINGSTON HyperX Fury 16GB (2 x 8GB) DDR4 2666MHz (HX426C16FB3K2/16),None,2.190.000đ,https://lh3.googleusercontent.com/oAEJ0cDeDE9V1HA2Be19gldXgKzQiftTUt1Yt00OhW6t5K-370hBAAt7OJVUtdlWe5SwTRY77fXZqVp6N7Go=w500-rw
Ổ cứng gắn ngoài SSD WD My Passport Go 500GB (WDBMCG5000AYT-WESN) (Vàng),None,2.790.000đ,https://lh3.googleusercontent.com/Pcdzp4ezlDvlJBmOnypqoad8jfeAi2Eexm1xQoBXELe4wR-XgusMX4T1_aBfa2SLmkG10GmHgK5npmY1w-tx=w500-rw
Keo Tản Nhiệt Coolermaster Mastergel Regular,None,130.000đ,https://lh3.googleusercontent.com/LCN2amcaj9Lj3vV2yCY95GrJbX09bLf56K9IHthn57hyU-ebrBbQWEy8dC6x4T2HR2po_kxwTMTmh0awlA=w500-rw
Quạt CPU Deepcool Gammaxx GTE V2 (RGB),None,750.000đ,https://lh3.googleusercontent.com/50hEFVGcFXv25enx2TxlPuRd9ZVG2JoEVT57yHxVZqgTzkXTgp07e_YbEX8pVMGj--krKyFG2OoTR3f-KjY=w500-rw
Nguồn máy tính Cooler Master Elite V3 230V PC400 Box - 400W -,None,695.000đ,https://lh3.googleusercontent.com/kNUdaIDdwGlTyy55b3EnXPkD7k0vtSNKQK44a-er7hCNnX_YX1-sVfn-zkA6a6PubiVKQSsqdf5eOPs3G9g=w500-rw
Nguồn máy tính Cooler Master Elite V3 230V PC500 Box - 500W -,None,830.000đ,https://lh3.googleusercontent.com/qXA20cOS_RgNgaeUzm8qkf6G8_VVgZnyfFb9RyJ2e03bh6FPlxNzHU8iB7UKnHIC-mI6DccL_2NTQoyfvagG=w500-rw
Nguồn máy tính Cooler Master Elite V3 230V PC600 Box - 600W -,None,940.000đ,https://lh3.googleusercontent.com/M_2SJhGYPtR1T9wD2a0KtsrLy6MeOwski3NXPyF2DhsygpHGgBGBuJs7BA2DKp1X-PqTD4cTpDj3qzA2Raz2=w500-rw
Nguồn máy tính Cooler Master Elite V3 230V PC700 Box - 700W -,None,1.080.000đ,https://lh3.googleusercontent.com/5SgBEY1ZY3hjvrTKKMVfAWf1cVhlIGM2ms_73lGL2zaWU2tGejibCJBBrFa_VLHY0WIXnCH6CjMJJYIWO8o=w500-rw
Thùng máy/ Case CM MasterCase H500P TG Mesh ARGB,None,4.140.000đ,https://lh3.googleusercontent.com/1vgl7BGj14bIOb4I2MKPEeLFUkztnb-EmApuz1XDvUKUyZTyEZM4gxXfmuw80c5c9k7VOIsjoIHMqcunDA=w500-rw
